bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
151,14921,6303,422,2,39430,39430,313155,696460,4,4,22,57,-1.6,-1.6,-2,-7.3,59,60,62,64,76.8,30
142,16204,7607,469,2,23226,23226,296951,680256,3,3,21,56,-1.5,-1.5,-2,-7.4,59,60,62,64,76.9,23
145,11963,5608,468,1,11263,32527,299995,668293,2,3,21,55,0,0.8,-2.1,-7.5,59,60,62,64,76,25
143,7238,3266,451,1,4025,25289,292757,661055,1,2,20,54,0.8,1.6,-2.2,-7.6,59,60,62,64,76.3,22
141,4025,1810,449,28,0,30771,298765,657030,0,2,20,53,-2.3,-2.3,-2.5,-7.8,60,60,62,64,76.7,27
157,21264,7861,369,2,39201,148034,349438,644626,3,10,24,53,-1.8,-1.8,-3.8,-8.1,63,62,63,64,79.8,28
143,9507,4681,492,2,50948,138527,339931,635119,3,9,23,52,0.8,0.8,-3.6,-8.2,63,62,63,64,79.9,29
160,21281,7564,355,3,29667,131876,339915,613838,2,9,23,51,-0.8,-0.8,-4.2,-8.4,64,62,63,64,80.8,25
144,8413,3756,446,30,32098,138473,346519,605425,2,9,23,50,-3.5,-3.5,-4.7,-8.6,62,62,63,64,79.7,31
160,21254,7438,349,4,22857,117219,325265,592661,2,8,22,50,-3.5,-3.5,-4.7,-8.5,62,62,63,64,79.4,26
145,10844,4945,455,3,23471,118568,314421,581817,2,8,21,49,-5.3,-5.3,-4.7,-8.5,62,62,63,64,80.4,27
166,12013,4176,347,2,32711,106555,321865,569804,2,7,21,48,-5.3,-5.3,-4.8,-8.5,62,62,63,64,79.2,31
166,11458,4015,350,4,36258,107098,310407,558346,2,7,20,47,-4.5,-4.5,-4.8,-8.5,62,63,63,64,79.6,29
160,21253,7472,351,3,15005,107099,304160,537093,1,7,20,46,-3.3,-3.3,-4.8,-8.5,62,63,63,64,80.3,27
168,15005,5245,349,5,17006,106424,289155,522088,1,7,19,45,-3.2,-3.2,-4.8,-8.5,62,63,64,64,80.2,28
169,17006,5949,349,3,29640,119434,295233,505082,2,8,20,44,-3.5,-3.4,-5.4,-8.5,62,63,64,64,81,28
161,14630,5444,372,4,15010,114837,280603,490452,1,8,19,43,-3.5,-3.4,-5.4,-8.5,64,63,64,64,80.2,27
168,15010,5314,354,6,12193,99827,265593,486072,1,7,18,43,-7,-3.4,-5.5,-8.5,63,63,64,64,81.6,26
161,12193,5006,410,4,33255,98284,282944,473879,2,7,19,42,-1.3,-2.8,-5.9,-8.6,63,63,64,64,81.4,21
166,12001,4288,357,3,35584,116302,270943,461878,2,8,18,41,-1.2,-4,-6.1,-8.7,63,63,64,64,81.3,20
165,21254,7323,344,4,29339,95048,264760,440624,2,7,18,40,-2.6,-4.8,-7,-9,62,63,64,64,81.3,15
170,14330,4870,339,2,30016,90726,250430,447804,2,7,17,40,-4.1,-5.2,-7.3,-9.2,63,64,64,64,80.9,18
169,15009,5091,339,3,25040,96977,235421,432795,2,7,16,39,-4.5,-5.9,-7.6,-9.4,63,64,64,64,81.4,17
173,15007,5257,350,3,10033,81970,220414,417788,1,6,15,38,-2.9,-5.9,-7.7,-9.5,63,64,64,64,81.5,21
168,10033,3457,344,12,0,71937,210381,420365,0,5,14,38,-6.9,-6.9,-8.2,-9.7,62,64,64,64,82.7,25
164,10650,3857,362,2,30019,97569,211370,409715,2,6,14,37,-7.5,-6.8,-8.7,-9.7,65,64,64,64,82.5,16
175,10006,3420,341,2,20013,107020,201364,399709,1,6,13,36,-8.1,-6.7,-8.8,-9.8,65,65,64,64,82.4,18
173,20013,7425,371,9,10008,87007,191950,379696,1,5,13,35,-6.4,-6.4,-9,-9.8,65,64,64,64,82.6,19
173,10008,3572,356,3,21260,92005,181942,369688,1,5,12,34,-5.9,-5.9,-9,-9.8,65,64,65,64,81.4,10
171,21260,7773,365,9,0,70745,160682,348428,0,4,11,33,-5.9,-5.9,-9.3,-10,63,64,64,64,82.3,15
170,21265,7888,370,2,15017,72564,150956,327163,1,5,11,32,-7.3,-7.5,-9.5,-10.1,63,65,65,64,82.6,10
170,15017,5605,373,8,0,57547,146321,312146,0,4,11,31,-7.6,-7.6,-10.3,-10.2,64,65,65,64,81.6,15
170,19457,7235,371,7,15006,67634,126864,292689,1,5,10,30,-4.2,-8.9,-10.7,-10.3,65,65,65,64,83.7,17
165,15006,5618,374,5,13720,67699,121858,277683,1,5,10,29,-10.1,-10.7,-11.5,-10.5,65,65,65,64,83,17
172,13720,5261,383,3,9364,53979,108138,263963,1,4,9,28,-9.7,-10.8,-11.6,-10.5,65,65,65,64,83.1,16
172,9364,3529,376,12,0,44615,98774,254599,0,3,8,27,-11.2,-11.2,-11.9,-10.6,65,65,65,64,83,16
169,15156,5786,381,2,29459,41098,99388,239443,2,3,9,26,-12.9,-13.6,-12.2,-10.7,65,64,65,64,82,10
172,14388,5772,401,5,15071,26710,85000,225055,1,2,8,25,-13.2,-14.2,-12.1,-10.6,65,64,65,64,81,14
173,15071,6048,401,21,0,22238,69929,209984,0,2,7,24,-12.5,-12.5,-12,-10.5,64,64,65,64,82.5,16
177,11639,4580,393,7,10599,32520,72080,198345,1,3,8,23,-9.9,-11.4,-11.8,-10.3,64,65,65,64,82.2,3
171,10599,4065,383,14,0,21921,76351,187746,0,2,9,22,-12.2,-12.2,-12.8,-10.3,65,65,65,64,82.6,3
168,11539,4473,387,5,10382,20382,86392,176207,1,2,11,21,-15.9,-14.1,-11.1,-10.4,65,66,65,64,83,14
173,10382,4308,414,16,0,20010,88285,165825,0,2,12,20,-11.8,-11.8,-9.6,-10.1,65,66,65,64,82,15
175,10000,3818,381,14,0,23800,78285,155825,0,3,11,19,-11.6,-11.6,-9.4,-10,68,66,65,63,82,-2
172,10010,3880,387,6,5760,19550,77985,145815,1,3,12,18,-11,-12.3,-10,-9.9,64,65,64,63,81.3,4
169,5760,2305,399,8,0,18650,77955,140055,0,3,12,17,-15.6,-15.6,-10.4,-9.9,66,65,64,63,81,13
174,8030,3114,387,13,0,20630,69925,132025,0,3,11,16,-14.7,-14.7,-10.2,-9.7,66,65,64,63,81.2,11
169,5760,2389,414,8,0,43625,64165,126265,0,6,10,15,-7.4,-7.4,-9.9,-9.4,65,64,64,63,80.6,18
176,4860,2103,432,5,10010,43865,59305,121405,1,6,9,14,-9.9,-5.7,-8.6,-8.6,63,64,64,63,79.4,26
171,10010,3836,382,5,9500,33855,49295,111395,1,5,8,13,-7.9,-4.9,-8.5,-8.5,63,64,64,63,80.45,22
170,9500,3541,372,3,6010,24355,39795,101895,1,4,7,12,-5.7,-4.1,-8.6,-8.6,64,64,64,63,81,24
163,6010,2345,389,5,6070,18345,33785,95885,1,3,6,11,-1,-3.6,-9.1,-8.8,65,64,64,63,81,24
158,6070,2297,378,3,12275,12275,27715,89815,2,2,5,10,-4.9,-4.9,-10.7,-9.6,65,64,64,63,81.4,20
164,7175,2362,331,3,5100,12800,20540,92650,1,2,4,10,-10.8,-10.7,-13.6,-10.6,65,64,64,63,80.8,18
168,5100,2054,402,27,0,7700,24300,87550,0,1,4,9,-10.6,-10.6,-13.6,-10.6,63,63,64,63,80.9,24
163,7700,3263,423,4,2010,7740,25090,79850,1,2,4,8,-17.7,-16.5,-12.5,-10.6,62,63,64,62,79.9,26
138,2010,1161,574,5,5730,5730,23080,77840,1,1,3,7,-15.3,-15.3,-10.7,-9.6,62,63,64,62,78.8,30
