bpm,age,weight,temp,dist,time,gap,dist_week,train_week,dist_month,train_month,dist_h_year,train_h_year
165,14358,80.1,19,20000,7681,1,49090,4,190640,17,227440,23
152,14357,80.7,25,10080,3840,3,54020,4,180560,16,217360,22
154,14354,78.6,22,9500,3625,1,54520,4,171060,15,207860,21
162,14353,79.5,20,20010,7666,2,46450,4,151050,14,187850,20
149,14351,80.2,30,9500,3624,1,47120,4,141550,13,178350,19
158,14350,81.6,28,15010,5589,3,47550,4,126540,12,163340,18
152,14347,79.2,28,10000,3995,3,47560,4,123640,12,153340,17
153,14346,80.4,25,11940,4653,2,50630,4,111700,11,141400,16
154,14344,79.9,23,10170,3900,1,48480,4,109490,11,131230,15
158,14343,81.3,20,15440,5888,3,43290,4,94050,10,115790,14
161,14340,79.1,26,10010,3930,1,41440,4,84040,9,105780,13
159,14339,79.5,28,15010,5938,2,36450,4,69030,8,90770,12
156,14337,80,24,8020,3139,1,36630,4,61010,7,82750,11
158,14336,81,23,10250,4014,3,35700,4,50760,6,72500,10
159,14333,79.2,30,8160,2930,1,27540,3,42600,5,64340,9
165,14332,79.1,29,10020,3815,2,17520,2,32580,4,54320,8
164,14330,81,29,8200,3203,1,9320,1,24380,3,46120,7
164,14329,81.5,23,9320,3409,11,0,0,23780,3,36800,6
164,14318,79.5,17,7100,2845,4,7960,1,16680,2,29700,5
159,14314,80,14,7960,3106,15,0,0,8720,1,21740,4
160,14299,79,13,8720,3465,27,0,0,4800,1,13020,3
154,14272,80.5,7,4800,2035,7,3620,1,8220,2,8220,2
149,14265,80.3,7,3620,1587,14,0,0,4600,1,4600,1
134,14251,79.9,17,4600,2149,196,0,0,0,0,0,0
165,14062,76,6,42500,16212,7,21500,1,132070,8,380820,31
156,14055,76.8,14,21500,7669,4,41350,2,152090,10,359320,30
155,14051,77.1,27,10010,3372,3,51340,3,160130,11,349310,29
163,14048,76.9,22,31340,11598,2,30010,3,148810,11,317970,28
160,14046,77,23,10000,3287,2,20010,2,149890,11,307970,27
156,14044,76.9,23,10000,3358,2,19220,2,147940,11,297970,26
156,14042,78.2,23,10010,3348,5,9210,1,147550,11,287960,25
152,14037,75.6,17,9210,2988,3,40010,2,138340,10,278750,24
161,14034,77.7,20,30000,11384,3,41520,3,129590,10,248750,23
155,14031,78.5,25,10010,3453,2,41550,3,135170,11,238740,22
153,14029,78.3,28,6490,2433,2,43070,3,136550,11,232250,21
157,14027,77.7,22,25020,8830,3,18050,2,111530,10,207230,20
155,14024,77.1,23,10040,3446,2,39110,3,101490,9,197190,19
160,14022,78.5,23,8010,2745,3,39150,3,93480,8,189180,18
161,14019,76.9,17,20020,7338,2,28750,3,73460,7,169160,17
156,14017,78.7,26,11080,3971,2,17670,2,62380,6,158080,16
158,14015,78.4,19,8050,3023,2,9620,1,54330,5,150030,15
155,14013,78.8,13,9620,3433,7,21250,1,44710,4,140410,14
176,14006,79.2,25,21250,7343,3,23460,3,23460,3,119160,13
160,14003,79.4,21,10440,3609,2,13020,2,21040,3,108720,12
158,14001,79,21,5150,1810,1,7870,1,15890,2,103570,11
154,14000,80.9,26,7870,2799,27,0,0,8020,1,95700,10
147,13973,77.9,23,8020,3131,7,8050,1,24370,3,87680,9
156,13966,79.3,26,8050,2907,2,16320,2,48510,4,79630,8
158,13964,79,22,7320,2651,4,9000,1,41190,3,72310,7
153,13960,78.6,24,9000,3213,22,0,0,57610,5,63310,6
154,13938,78.7,26,10940,3601,2,36660,3,52370,5,52370,5
164,13936,78.4,21,21250,7169,3,31120,4,31120,4,31120,4
152,13933,78.7,18,10000,3384,2,21120,3,21120,3,21120,3
153,13931,78.2,20,5410,1645,1,15710,2,15710,2,15710,2
155,13930,79.2,21,10010,3389,1,5700,1,5700,1,5700,1
152,13929,79,23,5700,1922,0,0,0,0,0,0,0
